property_id,property_category,property_title,property_type,seller_name,seller_id,seller_type,open_viewing,no_of_photos,available_from,lease_units,available_for,area,county,latitude,longitude,furnished,bathrooms,beds,facility,environment,published_date,page_name,platform,currency,price_frequency,price,Parking,Cable Television,Dryer,Garden / Patio / Balcony,Washing Machine,Serviced Property,Pets Allowed,Wheelchair Access,Central Heating,Microwave,Smoking,Dishwasher,House Alarm,Internet
1694434,rental,"The Pines, Herbert Park Lane Apartments, Ballsbridge, Dublin 4",apartment,Bell Properties Ltd,358,agent,no,16,2017-03-02,months,12,Ballsbridge,Dublin,53.327992214616,-6.2350072859408,yes,2,2,"Parking,Central Heating,Cable Television,Washing Machine,Dryer,Dishwasher,Microwave,Garden / Patio / Balcony",prod,2017-09-08,PropertyDetails,desktop,€,monthly,2500,True,True,True,True,True,,,,True,True,,True,,
1768357,rental,"Coopers Yard, Smithfield, Dublin 7",apartment,Dublin Property Management,362,agent,no,18,2017-09-01,months,12,Smithfield,Dublin,53.348832232691,-6.2774174067057,yes,2,2,"Parking,Central Heating,House Alarm,Cable Television,Washing Machine,Dryer,Dishwasher,Microwave,Internet,Garden / Patio / Balcony",prod,2017-09-08,PropertyDetails,desktop,€,monthly,2200,True,True,True,True,True,,,,True,True,,True,True,True
1766222,rental,"Dominic Street Upper, Dublin 1, Dublin 1",apartment,,,private,no,5,2017-09-10,months,12,Dublin 1,Dublin,53.353750904966,-6.2529587399939,yes,1,1,"Parking,Central Heating,Washing Machine,Microwave",prod,2017-09-08,PropertyDetails,desktop,€,monthly,1500,True,,,,True,,,,True,True,,,,
1766016,rental,"Hanover Lofts, Hanover Street East, Dublin 2, Dublin 2",apartment,Savills Molesworth Street,2619,agent,no,10,2017-08-21,months,12,Dublin 2,Dublin,53.3444693,-6.2427969,yes,1,1,"Parking,Central Heating,Cable Television,Washing Machine,Dryer,Dishwasher,Microwave,Internet,Garden / Patio / Balcony",prod,2017-09-08,PropertyDetails,desktop,€,monthly,2300,True,True,True,True,True,,,,True,True,,True,,True
1770808,rental,"Villa Nova, Mt. Merrion Avenue, Blackrock, Co. Dublin",apartment,Lisney (Leeson St),6182,agent,no,10,2017-09-10,months,12,Blackrock,Dublin,53.297785,-6.198285,no,2,0,"Parking,Central Heating,Cable Television,Washing Machine,Dryer,Dishwasher,Microwave,Internet",prod,2017-09-08,PropertyDetails,desktop,€,monthly,2000,True,True,True,,True,,,,True,True,,True,,True
1771487,rental,"Slane House, Ardilaun Court, Patrick Street, Dublin 8, Dublin 8",apartment,Galvin Property & Finance,2236,agent,no,16,2017-09-08,months,12,Dublin 8,Dublin,53.340181608716,-6.2723779678345,yes,1,1,"Central Heating,Cable Television,Washing Machine,Dryer,Microwave,Internet",prod,2017-09-08,PropertyDetails,desktop,€,monthly,1600,,True,True,,True,,,,True,True,,,,True
1766674,rental,"The Sweepstakes, Ballsbridge, Dublin 4",apartment,,,private,no,15,2017-11-16,months,0,Ballsbridge,Dublin,53.331446185637,-6.2282819329994,yes,1,2,"Parking,Central Heating,Cable Television,Washing Machine,Dryer,Dishwasher,Microwave,Internet,Garden / Patio / Balcony,Serviced Property",prod,2017-09-08,PropertyDetails,desktop,€,weekly,3152,True,True,True,True,True,True,,,True,True,,True,,True
1769434,rental,"66 La Rochelle, Christchurch, Dublin 8",apartment,,,private,no,13,2017-09-01,months,0,Christchurch,Dublin,53.342858933485,-6.2719513787906,yes,1,2,"Central Heating,Cable Television,Washing Machine,Dryer,Microwave,Internet,Garden / Patio / Balcony,Serviced Property",prod,2017-09-08,PropertyDetails,desktop,€,weekly,2934,,True,True,True,True,True,,,True,True,,,,True
1770091,rental,"Parnell Street, Dublin 1, Dublin 1",apartment,EPM Estates,7732,agent,no,0,2017-09-09,months,12,Dublin 1,Dublin,53.351368490575,-6.2640330792783,yes,1,1,"House Alarm,Washing Machine,Dryer,Microwave",prod,2017-09-08,PropertyDetails,desktop,€,monthly,1650,,,True,,True,,,,,True,,,True,
1767486,rental,"Serpentine House Serpentine Avenue, Ballsbridge, Dublin 4",apartment,Lansdowne Partnership Estate Agents,2960,agent,no,10,2017-08-25,months,12,Ballsbridge,Dublin,53.330821725497,-6.2235188484192,yes,2,2,"Parking,Central Heating,Cable Television,Washing Machine,Dryer,Dishwasher,Microwave,Internet",prod,2017-09-08,PropertyDetails,desktop,€,monthly,2500,True,True,True,,True,,,,True,True,,True,,True
