,property_title,seller_id,seller_type,open_viewing,no_of_photos,available_from,available_for,area,furnished,bathrooms,beds,price,Parking,Cable Television,Dryer,Garden / Patio / Balcony,Washing Machine,Serviced Property,Pets Allowed,Wheelchair Access,Central Heating,Microwave,Smoking,Dishwasher,House Alarm,Internet
34,"259 B South Circular Road, Dublin 8, Dublin 8",0.0,0.0,0.0,11.0,2017-09-23,12.0,108.0,1.0,1.0,1.0,1695.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
36,"26 Windmill Lane Apartments, Windmill Lane, Dublin 2, Dublin 2",0.0,0.0,0.0,15.0,2017-09-18,12.0,53.0,1.0,1.0,2.0,2600.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,"27 Malin Hall, Waterville, Blanchardstown, Dublin 15",0.0,0.0,0.0,11.0,2017-09-24,12.0,50.0,1.0,2.0,2.0,1550.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
38,"285 Malahide Marina Village, Malahide, Co. Dublin",0.0,0.0,0.0,12.0,2017-10-02,12.0,6.0,1.0,1.0,2.0,1500.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
39,"29 South Central, Sandyford, Dublin 18",9871.0,1.0,0.0,7.0,2017-11-03,12.0,114.0,1.0,2.0,2.0,1942.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
40,"3 BED, Coldcut Park, Clondalkin, Dublin 22",9871.0,1.0,0.0,23.0,2017-09-21,12.0,110.0,0.0,2.0,3.0,1800.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
41,"3 Shanagarry, Milltown Road, Dublin 6, Milltown, Dublin 6",0.0,0.0,0.0,14.0,2017-09-19,12.0,48.0,3.0,1.0,2.0,1850.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
42,"31 Tuansgate, Tallaght, Dublin 24",0.0,0.0,0.0,8.0,2017-09-11,12.0,64.0,1.0,1.0,1.0,1200.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
43,"323 Harold Cross Road, Harold's Cross, Dublin 6",0.0,0.0,0.0,7.0,2017-09-21,12.0,19.0,1.0,1.0,1.0,1200.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
44,"33 Tallow Hall, Tallaght, Dublin 24",0.0,0.0,0.0,7.0,2017-09-14,12.0,64.0,1.0,1.0,1.0,1250.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
46,"35 North Circular Road, Dublin 7, Dublin 7",0.0,0.0,0.0,17.0,2017-09-18,12.0,103.0,1.0,1.0,1.0,1000.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
47,"37 Main St, Clongriffin, Dublin 13",10123.0,1.0,0.0,10.0,2017-09-20,12.0,47.0,1.0,1.0,1.0,1300.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
48,"38 Mountfield Park, Malahide, Co. Dublin",0.0,0.0,0.0,14.0,2017-10-20,12.0,6.0,1.0,2.0,2.0,1650.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
49,"392 Trimbleston, Goatstown Road, Dublin 14, Clonskeagh, Dublin 4",1367.0,1.0,0.0,12.0,2017-09-27,12.0,57.0,1.0,2.0,2.0,2080.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
50,"40 Collegefort, Castleknock, Castleknock, Dublin 15",1590.0,1.0,1.0,12.0,2017-10-02,12.0,69.0,1.0,2.0,3.0,1600.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
51,"41 The Lighthouse Apts, East Wall Road, Dublin 3, Dublin 1, Dublin 1",7426.0,1.0,0.0,15.0,2017-09-17,12.0,25.0,1.0,1.0,1.0,1700.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
52,"42 Brabazon Hall, Cork Street, Dublin 8, Dublin 8",0.0,0.0,0.0,13.0,2017-10-14,12.0,108.0,1.0,2.0,2.0,2000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
53,"42 The Kilns, Portmarnock, Co. Dublin",0.0,0.0,0.0,16.0,2017-11-08,12.0,2.0,1.0,1.0,2.0,1600.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
54,"44 Packenham, Sloperton, Monkestown, Monkstown, Co. Dublin",0.0,0.0,0.0,8.0,2017-09-21,12.0,0.0,1.0,1.0,2.0,1500.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
55,"4c Blessington Court, Dublin 1, Dublin 1",0.0,0.0,0.0,11.0,2017-10-01,12.0,25.0,1.0,1.0,2.0,1800.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
56,"5 Lapwing, Thornwood, Booterstown Avenue, Booterstown, Co. Dublin",0.0,0.0,0.0,12.0,2017-09-23,12.0,83.0,1.0,2.0,2.0,1800.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
57,"54 Morehampton Squre, Donnybrook, Dublin 4",0.0,0.0,0.0,8.0,2017-09-14,12.0,17.0,1.0,1.0,2.0,2300.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
58,"57 Kiltipper Gate, Kiltipper Way, Tallaght, Dublin 24",0.0,0.0,0.0,33.0,2017-09-13,12.0,64.0,1.0,2.0,2.0,1600.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
59,"58 Castlegate Cresent, Lucan, Co. Dublin",8381.0,1.0,0.0,18.0,2017-09-18,12.0,93.0,1.0,3.0,3.0,1550.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
60,"59 The Mill, Weavers Square, Cork St, Dublin 8, Dublin 8",0.0,0.0,0.0,10.0,2017-09-15,9.0,108.0,1.0,1.0,2.0,2400.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
61,"6 Chapelview, Maiden Row, Chapelizod, Dublin 20",0.0,0.0,0.0,14.0,2017-09-19,12.0,86.0,1.0,1.0,2.0,1650.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
63,"607 kilmainham square, Kilmainham, Kilmainham, Dublin 8",0.0,0.0,0.0,16.0,2017-11-01,12.0,27.0,1.0,2.0,2.0,1950.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
64,"608 Cube 2, Beacon South Quarter, Sandyford, Dublin 18",9871.0,1.0,0.0,18.0,2017-10-04,12.0,114.0,1.0,2.0,3.0,3166.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
65,"61 The Corn Exchange, Poolbeg Street, Dublin 2, Dublin 2",181.0,1.0,0.0,14.0,2017-09-21,12.0,53.0,1.0,1.0,2.0,2200.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
66,"67 Clanbrassil Street Lower, Dublin 8, Dublin 8",0.0,0.0,0.0,24.0,2017-09-21,0.0,108.0,1.0,1.0,1.0,1495.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
67,"68 Lower Camden Street, Dublin 2, Dublin 2",0.0,0.0,0.0,11.0,2017-09-18,12.0,53.0,1.0,1.0,2.0,1870.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
68,"68 Mount Talbot, Highgrove Clondalkin, Clondalkin, Dublin 22",0.0,0.0,0.0,8.0,2017-11-05,12.0,110.0,1.0,2.0,2.0,1700.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
69,"68 The Courthouse, Rathcoole, Co. Dublin",0.0,0.0,0.0,5.0,2017-09-15,12.0,102.0,1.0,1.0,2.0,1300.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,"7 Clanbrassill Terrace, Dublin 8, Dublin 8",0.0,0.0,0.0,4.0,2017-09-29,0.0,108.0,1.0,1.0,1.0,1500.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
71,"7 Hanover Lofts, Hanover East Street, Grand Canal Dock, Dublin 2",0.0,0.0,0.0,8.0,2017-09-17,12.0,52.0,1.0,1.0,1.0,2000.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
72,"7 Southgate, Cork Street, Dublin 8, Dublin 8",11.0,1.0,0.0,1.0,2017-10-01,12.0,108.0,1.0,1.0,2.0,1850.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
73,"7 Temple House, Temple St West, Arbour Hill, Dublin 7",0.0,0.0,0.0,10.0,2017-09-16,12.0,20.0,1.0,1.0,1.0,1250.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
74,"70 Patrician Villas, Stillorgan, Co. Dublin",0.0,0.0,0.0,7.0,2017-10-17,0.0,13.0,1.0,1.0,1.0,1100.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
75,"74 Burnell Court, Northern Cross, Balgriffin, Dublin 13",0.0,0.0,0.0,12.0,2017-09-15,12.0,15.0,1.0,2.0,2.0,1800.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
76,"74 Grosvenor Lodge, Rathmines, Dublin 6",11.0,1.0,0.0,8.0,2017-09-21,12.0,38.0,1.0,2.0,3.0,2200.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
78,"8 Levmoss Hall, the Gallops, Leopardstown, Dublin 18",0.0,0.0,0.0,15.0,2017-09-19,12.0,44.0,1.0,2.0,2.0,2300.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
79,"8 Temple Hill, Terenure, Dublin 6",9488.0,1.0,1.0,2.0,2017-09-21,12.0,82.0,1.0,2.0,2.0,2200.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
80,"84 The Bay, Elm Park, Merrion, Dublin 4",9871.0,1.0,0.0,2.0,2017-10-10,12.0,71.0,0.0,1.0,1.0,1645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,"87-89 Adelaide Square, Whitefriar Street, Dublin 8, Dublin 8",9234.0,1.0,0.0,12.0,2017-09-13,12.0,108.0,1.0,3.0,3.0,3300.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
82,"87 Haddington Road, Ballsbridge, Dublin 4",8456.0,1.0,0.0,13.0,2017-09-19,12.0,92.0,1.0,1.0,2.0,1900.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
83,"9 Carrigmore Drive, Citywest, Co. Dublin",0.0,0.0,0.0,0.0,2017-09-12,12.0,49.0,1.0,2.0,3.0,1600.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
84,"9 The Walk, Carrickmines Green, Carrickmines, Dublin 18",0.0,0.0,0.0,16.0,2017-09-25,12.0,72.0,1.0,3.0,3.0,2100.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
85,"99 Lower Kilmacud Road, Kilmacud, Co. Dublin",0.0,0.0,0.0,0.0,2017-09-19,9.0,70.0,1.0,1.0,1.0,599.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,"9A Newgrove Avenue, Sandymount, Dublin 4",56.0,1.0,0.0,7.0,2017-09-19,12.0,60.0,1.0,1.0,1.0,1300.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,"Abbeyfields,, Milltown, Dublin 6",358.0,1.0,0.0,14.0,2017-09-15,12.0,48.0,1.0,1.0,2.0,2000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
88,"Achill House, Custom House Square, IFSC, Dublin 1",114.0,1.0,0.0,17.0,2017-10-16,12.0,84.0,1.0,1.0,1.0,1820.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
89,"Acorn House, Seven Oaks, Rathmines, Dublin 6",5469.0,1.0,0.0,10.0,2017-09-21,12.0,38.0,1.0,1.0,1.0,1850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,"Adamstown Avenue, Adamstown, Co. Dublin",2236.0,1.0,0.0,0.0,2017-10-02,12.0,23.0,1.0,2.0,3.0,1290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,"Alderpark Court, Tallaght, Dublin 24",190.0,1.0,0.0,1.0,2017-10-13,12.0,64.0,1.0,1.0,1.0,1450.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
102,"Allen Park, Stillorgan, Stillorgan, Co. Dublin",0.0,0.0,0.0,11.0,2017-09-24,9.0,13.0,1.0,1.0,2.0,2000.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
103,"Anley Court, Lucan, Co. Dublin",3671.0,1.0,0.0,19.0,2017-09-12,12.0,93.0,1.0,1.0,2.0,1650.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
104,"Apartment 11b Bessboro, Terenure Road West, Terenure, Dublin 6w",9871.0,1.0,0.0,1.0,2017-10-20,12.0,82.0,1.0,1.0,1.0,1495.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
105,"Apartment 89, The Gallery, Turvey Walk, Donabate, Co. Dublin",0.0,0.0,0.0,20.0,2017-09-18,12.0,62.0,1.0,2.0,2.0,1500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
106,"Apartment Taney Court, Taney Rise, Goatstown, Dublin 14",0.0,0.0,0.0,6.0,2017-10-06,12.0,43.0,1.0,1.0,2.0,1650.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
107,"Appian Way, Ranelagh, Dublin 6",427.0,1.0,0.0,5.0,2017-09-18,12.0,67.0,1.0,1.0,1.0,1550.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
108,"Apt. 1, Dunloe Hall, No. 25 Merrion Street Upper, Dublin 2, Dublin 2",8809.0,1.0,0.0,11.0,2017-09-21,12.0,53.0,3.0,1.0,2.0,2800.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
109,"Apt 106 Temple Gardens, Northwood, Santry, Dublin 9",453.0,1.0,0.0,8.0,2017-09-11,12.0,55.0,1.0,2.0,2.0,1830.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
110,"Apt 11 WATERFALL COURT, WATERFALL AVENUE, Drumcondra, Dublin 9",3658.0,1.0,1.0,12.0,2017-09-18,12.0,91.0,1.0,1.0,1.0,1750.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
111,"Apt 11 Waterfall Court, Waterfall Avenue, Drumcondra, Dublin 9",3658.0,1.0,1.0,11.0,2017-09-21,12.0,91.0,1.0,1.0,1.0,1695.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
112,"Apt 11 WATERFALL COURT, WATERFALL AVENUE, Fairview, Dublin 3",3658.0,1.0,1.0,12.0,2017-09-18,12.0,95.0,1.0,1.0,1.0,1750.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
113,"Apt 22, 35 Mount Joy Square, Dublin 1, Dublin 1",0.0,0.0,0.0,5.0,2017-10-01,12.0,25.0,1.0,1.0,2.0,1550.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
114,"Apt 3, 50 Upper Baggot St, Ballsbridge, Dublin 4",0.0,0.0,0.0,11.0,2017-10-01,12.0,92.0,1.0,1.0,1.0,1750.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
